epoch,acc,loss,lr,val_acc,val_loss
0,0.5029326465590484,1.9795326465590484,0.01,0.6104326465590484,1.4788326465590484
1,0.6529326465590484,1.3087326465590484,0.01,0.5093326465590484,2.1234326465590484
2,0.7054326465590484,1.0871326465590484,0.01,0.6713326465590484,1.2546326465590484
3,0.7405326465590484,0.9471326465590484,0.01,0.6924326465590484,1.1735326465590484
4,0.7620326465590484,0.8492326465590484,0.01,0.5643326465590484,1.8638326465590484
5,0.7864326465590484,0.7556326465590484,0.01,0.6522326465590484,1.3717326465590484
6,0.8514326465590484,0.5147326465590484,0.005,0.7822326465590484,0.8175326465590484
7,0.8736326465590484,0.4305412898325981,0.005,0.7784747310475854,0.8736854174984344
8,0.8866556924384027,0.3786849308072153,0.005,0.7742268450892721,0.906050175233171
9,0.8986034409515717,0.33399098148108947,0.005,0.7885187979021647,0.8765688887296121
10,0.9317916312659303,0.23063713872683383,0.0025,0.8203580928253926,0.7321942598056531
11,0.9435137000849617,0.19248666542763415,0.0025,0.8205962919991081,0.7403915503046299
12,0.9505495964316057,0.16942407298253923,0.0025,0.8023343523108352,0.8416992873610062
13,0.9632938615123194,0.13162746371269327,0.00125,0.8173012028894663,0.7771981663558557
14,0.9676747026338148,0.11850489133663519,0.00125,0.8258763745677368,0.7519686273889438
15,0.9725998300764656,0.1027355603968682,0.000625,0.8247647782431036,0.7561082083811309
16,0.9735556499575191,0.09800100215127534,0.000625,0.8251220771279074,0.7614152037553267
17,0.9758788232795242,0.09206800869552889,0.0003125,0.8259557743767065,0.7573716045295579
18,0.976927570093458,0.08784542581226325,0.0003125,0.8252808765399792,0.7616300650955221
19,0.9793834961767205,0.08214472231479676,0.00015625,0.8279010679572377,0.7549218970999323
20,0.9779099405267629,0.08494932334450728,0.00015625,0.8252014768019983,0.7628444538368282
21,0.9791578164825828,0.0814645471345687,7.8125e-05,0.8274246695293526,0.757255022313572
22,0.9790250637213254,0.08080526515081866,7.8125e-05,0.8271467703825295,0.7578030297048844
23,0.9795295242141037,0.07940348510344782,3.90625e-05,0.8277819682863764,0.7552915959596395
24,0.9792241928632116,0.08100090309195758,3.90625e-05,0.8273055698584912,0.7553613219041408
