epoch,acc,loss,lr,val_acc,val_loss
0,0.5783374044180118,1.653021447683353,0.01,0.6745007741498116,1.2523478231479188
1,0.7182189889549703,1.0430361204333571,0.01,0.7686291635261266,0.848335257237199
2,0.7656515505522515,0.8522366037293192,0.01,0.7851046091571561,0.803202448436298
3,0.7982954545454546,0.7236897007355699,0.01,0.7874072015609674,0.7854452982201964
4,0.8213147833474936,0.6278846582730943,0.01,0.8240104807654135,0.6556481584282111
5,0.8408958156329651,0.5489248168000361,0.01,0.7712493548818615,0.9462114675716727
6,0.8591625955819882,0.4850389056205243,0.01,0.8278216681908612,0.6709019357387802
7,0.8717342820730671,0.4301281269515501,0.01,0.7843503116463378,0.8554570588211956
8,0.8847706032285472,0.385792167461952,0.01,0.8119417205946884,0.7626155373638356
9,0.9363052251486831,0.21227251929663218,0.005,0.8610901584048436,0.5685732392979831
10,0.9528196686491079,0.1557582134825209,0.005,0.8645440470070112,0.5701135955304875
11,0.9607981096006797,0.12858693410349106,0.005,0.8649013458279251,0.5832845317035689
12,0.9655639337298216,0.11135659895694767,0.005,0.8680376354758029,0.5793040803001984
13,0.9875345265436565,0.04595437657567457,0.0025,0.8763436245643656,0.5721245476347653
14,0.9882867846876878,0.04176576547667678,0.0025,0.8782765747645767,0.5659473676537567
15,0.9898356787487687,0.03702745734676385,0.0025,0.8798245624635654,0.5731735672456245
16,0.9918543767667665,0.03036735684858867,0.0012,0.8833724575436566,0.5508726475745767
17,0.9927578985798799,0.02742456543457654,0.0012,0.8808356765365624,0.5596356735674735
18,0.9938245654656654,0.02433475684578467,0.0006,0.8843245754745356,0.5542735673567755
19,0.9940659515717927,0.023460744018087985,0.0003125,0.8843145817618802,0.5492220112279608
20,0.9943181818181818,0.022734940215976426,0.0003125,0.8836396839890428,0.5470340423884952
21,0.994517310960068,0.022747009908848703,0.0003125,0.8835602842510619,0.5502911087065598
22,0.9949686703483432,0.02144603289734338,0.00015625,0.8843145817618802,0.5482981184521175
23,0.9949421197960917,0.020588846630496184,7.8125e-05,0.8845130811068324,0.5507317223699365
